City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,inverloch,-38.6333,145.7167,21.26,78,32,3.81,AU,1732592095
139,georgetown,5.4112,100.3354,29.97,77,40,3.09,MY,1732592082
140,sitka,57.0531,-135.33,2.94,75,100,2.06,US,1732592096
141,prince rupert,54.3161,-130.3201,1.83,64,90,4.63,CA,1732592096
142,manokwari,-0.8667,134.0833,29.54,66,85,3.42,ID,1732592096
143,saint-pierre,-21.3393,55.4781,25.82,73,20,1.54,RE,1732592096
144,kievka,50.2619,71.5514,-6.42,82,5,4.18,KZ,1732592096
145,revda,56.801,59.9303,-5.99,90,35,1.32,RU,1732592096
146,oodweyne,9.4092,45.064,21.26,68,0,0.69,SO,1732592097
147,birao,10.2849,22.7882,17.26,28,37,2.32,CF,1732592097
148,mirnyy,62.5353,113.9611,-18.94,96,100,5.05,RU,1732592097
149,gaspe,48.8334,-64.4819,5.12,81,100,3.09,CA,1732592097
150,longyearbyen,78.2186,15.6401,-11.09,79,100,8.23,SJ,1732592097
151,avarua,-21.2078,-159.775,25.03,78,100,3.6,CK,1732592098
152,paita,-5.0892,-81.1144,19.49,84,33,4.24,PE,1732592098
153,reggane,26.7158,0.1714,18.49,39,39,5.54,DZ,1732592098
154,san andres,12.5847,-81.7006,27.01,89,20,3.6,CO,1732592013
155,tyuratam,45.6507,63.3156,1.4,69,0,4.19,KZ,1732592098
156,rio grande,-32.035,-52.0986,20.64,90,44,1.76,BR,1732592098
157,mount isa,-20.7333,139.5,23.87,88,75,5.14,AU,1732592098
158,cambria,35.5641,-121.0808,12.81,96,100,2.24,US,1732591934
159,tiksi,71.6872,128.8694,-18.48,78,100,11.66,RU,1732592099
160,verkhnevilyuysk,63.4453,120.3167,-19.39,90,100,3.88,RU,1732592099
161,podborany,50.2294,13.4119,6.52,81,100,1.81,CZ,1732592099
162,'ain deheb,34.8422,1.547,9.96,61,97,2.64,DZ,1732592099
163,hirara,24.8,125.2833,20.92,100,75,14.92,JP,1732592099
164,yuzhno-kurilsk,44.0306,145.8556,3.63,56,6,4.16,RU,1732592099
165,lionel town,17.8101,-77.2406,24.41,91,100,3.18,JM,1732592099
166,saipan,15.1355,145.701,32.39,79,40,9.77,MP,1732592099
167,ulsteinvik,62.3432,5.8487,7.07,81,95,2.69,NO,1732592100
168,tegueste,28.5167,-16.3167,19.49,90,0,3.6,ES,1732592100
169,washington,47.5001,-120.5015,2.54,84,100,1.27,US,1732592095
170,loango,-4.6719,11.8312,23.81,94,75,0.51,CG,1732592100
171,salinopolis,-0.6136,-47.3561,27.05,75,59,5.99,BR,1732592100
172,bikenibeu village,1.3673,173.1241,31.98,62,20,8.23,KI,1732592100
173,touros,-5.1989,-35.4608,24.88,73,65,3.94,BR,1732592100
174,enewetak,11.3474,162.3373,28.24,82,30,8.89,MH,1732592100
175,villa regina,-39.1,-67.0667,17.52,40,19,8.52,AR,1732591952
176,hamilton,39.1834,-84.5333,11.69,92,100,8.05,US,1732591747
177,covington,39.0837,-84.5086,11.96,92,100,8.05,US,1732591643
178,kuta,-8.7233,115.1723,29.97,84,40,4.12,ID,1732592101
179,bentiu,9.2333,29.8333,21.51,32,4,2.23,SS,1732592101
